"ID","NAME","PARENT_ID","URL","PICTUR_URL","STATUS","UUID","CODING","REMARK","CHILDROOT_EXIST","TREE_PATH","NUM","PROVINCE_CODE","RESOURCE_POOL_CODE","REDIRECT_PATH","IS_SHOW","ALIAS","COMPONENT"
"1862487109985900022","有向无环图调度策略","1862486631453622286","/safeLeak/VulnManage/1862487109985900022","solidIcon iconSecurity_threats","1",,"1862487109985900022",,"0",,"1",,,,"1","B13","RouteView"
"1862487109985900023","有向无环图验证策略","1862486631453622286","/safeLeak/VulnManage/1862487109985900023","solidIcon iconSecurity_threats","1",,"1862487109985900023",,"0",,"1",,,,"1","B14","RouteView"
"1862487109985900024","任务数量统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900024","solidIcon iconSecurity_threats","1",,"1862487109985900024",,"0",,"1",,,"","1","B15","RouteView"
"1862487109985900025","任务执行统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900025","solidIcon iconSecurity_threats","1",,"1862487109985900025",,"0",,"1",,,,"1","B16","RouteView"
"1862487109985900026","场景统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900026","solidIcon iconSecurity_threats","1",,"1862487109985900026",,"0",,"1",,,,"1","B17","RouteView"
"1862487109985900027","全局变量统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900027","solidIcon iconSecurity_threats","1",,"1862487109985900027",,"0",,"1",,,,"1","B18","RouteView"
"1862487109985900028","剧本变量统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900028","solidIcon iconSecurity_threats","1",,"1862487109985900028",,"0",,"1",,,,"1","B19","RouteView"
"1862487109985900029","定时任务统计","1862486631453622287","/safeLeak/vulnViewManage/1862487109985900029","solidIcon iconSecurity_threats","1",,"1862487109985900029",,"0",,"1",,,,"1","B20","RouteView"
"1862487109985900030","插件统计","1862486631453644290","/safeLeak/vulnViewManage/1862487109985900030","solidIcon iconSecurity_threats","1",,"1862487109985900030",,"0",,"1",,,,"1","B21","RouteView"
"1862487109985900031","插件服务管理","1862486631453644290","/safeLeak/VulnManage/1862487109985900031","solidIcon iconSecurity_threats","1",,"1862487109985900031",,"0",,"1",,,,"1","B22","RouteView"
"1862487109985954001","漏洞验证驱动","1862486631453622274","/safeLeak/VulnManage/1862487109985954001","solidIcon iconSecurity_threats","1",,"1862487109985954001",,"0",,"1",,,,"1","DataViewManage1","RouteView"
"1862487109985954003","专项漏洞管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954003","solidIcon iconSecurity_threats","1",,"1862487109985954003",,"1",,"1",,,,"1","1862487109985954003","RouteView"
"1862487109985954004","专项漏洞任务管理","1862486631453622274","/safeLeak/VulnTaskManage/1862487109985954004","solidIcon iconSecurity_threats","1",,"1862487109985954004",,"0",,"1",,,,"1","1862487109985954004","RouteView"
"1862487109985954005","专项漏洞回传","1862486631453622274","/safeLeak/VulnInterfaceManage/1862487109985954005","solidIcon iconSecurity_threats","1",,"1862487109985954005",,"0",,"1",,,,"1","1862487109985954005","RouteView"
"1862487109985954006","处置工具管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954006","solidIcon iconSecurity_threats","1",,"1862487109985954006",,"0",,"1",,,,"1","1862487109985954006","RouteView"
"1862487109985954007","处置工具文件校验","1862486631453622274","/safeLeak/VulnManage/1862487109985954007","solidIcon iconSecurity_threats","1",,"1862487109985954007",,"0",,"1",,,,"1","1862487109985954007","RouteView"
"1862487109985954008","处置工具同步","1862486631453622274","/safeLeak/VulnInterfaceManage/1862487109985954008","solidIcon iconSecurity_threats","1",,"1862487109985954008",,"0",,"1",,,,"1","1862487109985954008","RouteView"
"1862487109985954009","处置工具状态校验","1862486631453622274","/safeLeak/VulnManage/1862487109985954009","solidIcon iconSecurity_threats","1",,"1862487109985954009",,"0",,"1",,,,"1","1862487109985954009","RouteView"
"1862487109985954010","排查核验工单管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954010","solidIcon iconSecurity_threats","1",,"1862487109985954010",,"0",,"1",,,,"1","1862487109985954010","RouteView"
"1862487109985954011","处置工单管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954011","solidIcon iconSecurity_threats","1",,"1862487109985954011",,"0",,"1",,,,"1","1862487109985954011","RouteView"
"1862487109985954012","处置核验工单管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954012","solidIcon iconSecurity_threats","1",,"1862487109985954012",,"0",,"1",,,,"1","1862487109985954012","RouteView"
"1862487109985954013","漏洞周期工单管理","1862486631453622274","/safeLeak/VulnManage/1862487109985954013","solidIcon iconSecurity_threats","1",,"1862487109985954013",,"0",,"1",,,,"1","1862487109985954013","RouteView"
"1862487109985954014","排查核验工单统计","1862486631453622274","/safeLeak/VulnViewManage/1862487109985954014","solidIcon iconSecurity_threats","1",,"1862487109985954014",,"0",,"2",,,,"1","1862487109985954014","RouteView"
"1862487109985954015","漏洞周期工单统计","1862486631453622274","/safeLeak/VulnViewManage/1862487109985954015","solidIcon iconSecurity_threats","1",,"1862487109985954015",,"0",,"2",,,,"1","1862487109985954015","RouteView"
"1862487109985955001","POC运行环境管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955001","solidIcon iconSecurity_threats","1",,"1862487109985955001",,"0",,"1",,,,"1","1862487109985955001","RouteView"
"1862487109985955002","POC执行结果管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955002","solidIcon iconSecurity_threats","1",,"1862487109985955002",,"0",,"1",,,,"1","1862487109985955002","RouteView"
"1862487109985955003","POC动作节点管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955003","solidIcon iconSecurity_threats","1",,"1862487109985955003",,"0",,"1",,,,"1","1862487109985955003","RouteView"
"1862487109985955004","POC变量节点管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955004","solidIcon iconSecurity_threats","1",,"1862487109985955004",,"0",,"1",,,,"1","1862487109985955004","RouteView"
"1862487109985955005","POC循环节点管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955005","solidIcon iconSecurity_threats","1",,"1862487109985955005",,"0",,"1",,,,"1","1862487109985955005","RouteView"
"1862487109985955006","POC适配器管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955006","solidIcon iconSecurity_threats","1",,"1862487109985955006",,"0",,"1",,,,"1","1862487109985955006","RouteView"
"1862487109985955007","POC执行监控管理","1862486631453622275","/safeLeak/VulnManage/1862487109985955007","solidIcon iconSecurity_threats","1",,"1862487109985955007",,"0",,"1",,,,"1","1862487109985955007","RouteView"
"1862487109985955008","POC接口管理","1862486631453622275","/safeLeak/VulnInterfaceManage/1862487109985955008","solidIcon iconSecurity_threats","1",,"1862487109985955008",,"0",,"1",,,,"1","1862487109985955008","RouteView"
"1862487109985955009","POC执行任务统计","1862486631453622275","/safeLeak/VulnViewManage/1862487109985955009","solidIcon iconSecurity_threats","1",,"1862487109985955009",,"0",,"2",,,,"1","1862487109985955009","RouteView"
"1862487109985955010","POC脚本类型统计","1862486631453622275","/safeLeak/VulnViewManage/1862487109985955010","solidIcon iconSecurity_threats","1",,"1862487109985955010",,"0",,"2",,,,"1","1862487109985955010","RouteView"
"1862487109985955011","POC引擎管理","1862486633453644290","/safeLeak/VulnManage/1862487109985955011","solidIcon iconSecurity_threats","1",,"1862487109985955011",,"0",,"1",,,,"1","1862487109985955011","RouteView"
"1862487109985955012","POC插件管理","1862486633453644290","/safeLeak/VulnManage/1862487109985955012","solidIcon iconSecurity_threats","1",,"1862487109985955012",,"0",,"1",,,,"1","1862487109985955012","RouteView"
"1862487109985955013","POC文件管理","1862486633453644290","/safeLeak/VulnManage/1862487109985955013","solidIcon iconSecurity_threats","1",,"1862487109985955013",,"0",,"1",,,,"1","1862487109985955013","RouteView"
"1862487109985955014","POC执行工单统计","1862486633453644290","/safeLeak/VulnViewManage/1862487109985955014","solidIcon iconSecurity_threats","1",,"1862487109985955014",,"0",,"2",,,,"1","1862487109985955014","RouteView"
"1862487109985955015","POC引擎分类统计","1862486633453644290","/safeLeak/VulnViewManage/1862487109985955015","solidIcon iconSecurity_threats","1",,"1862487109985955015",,"0",,"2",,,,"1","1862487109985955015","RouteView"
"1862487109985955016","POC引擎类型统计","1862486633453644290","/safeLeak/VulnViewManage/1862487109985955016","solidIcon iconSecurity_threats","1",,"1862487109985955016",,"0",,"2",,,,"1","1862487109985955016","RouteView"
"1862487109985959938","数据视图管理","1862486631453622273","/safeLeak/VulnManage/1862487109985959938","solidIcon iconSecurity_threats","1",,"1862487109985959938",,"0",,"3",,,,"1","DataViewManage2","RouteView"
"1862487538014207233","度量评价周期统计","1862486631453622276","/safeLeak/VulnViewManage/1862487538014207233","solidIcon iconSecurity_threats","1",,"1862487538014207233",,"0",,"2",,,,"1","1862487538014207233","RouteView"
"1862487538024207233","度量评价指标统计","1862486631453622276","/safeLeak/VulnViewManage/1862487538024207233","solidIcon iconSecurity_threats","1",,"1862487538024207233",,"0",,"2",,,,"1","1862487538024207233","RouteView"
"1862487538034207233","度量评价部门统计","1862486631453622276","/safeLeak/VulnViewManage/1862487538034207233","solidIcon iconSecurity_threats","1",,"1862487538034207233",,"0",,"2",,,,"1","1862487538034207233","RouteView"
"1862487538044207233","度量评价业务系统统计","1862486631453622276","/safeLeak/VulnViewManage/1862487538044207233","solidIcon iconSecurity_threats","1",,"1862487538044207233",,"0",,"2",,,,"1","1862487538044207233","RouteView"
"1862487538054207233","自动化任务类型统计","1862486631453622277","/safeLeak/VulnViewManage/1862487538054207233","solidIcon iconSecurity_threats","1",,"1862487538054207233",,"0",,"2",,,,"1","1862487538054207233","RouteView"
"1862487538064207233","关联分析结果统计","1862486631453622278","/safeLeak/VulnViewManage/1862487538064207233","solidIcon iconSecurity_threats","1",,"1862487538064207233",,"0",,"2",,,,"1","1862487538064207233","RouteView"
"1862487538074207233","关联分析资产统计","1862486631453622278","/safeLeak/VulnViewManage/1862487538074207233","solidIcon iconSecurity_threats","1",,"1862487538074207233",,"0",,"2",,,,"1","1862487538074207233","RouteView"
"1862487538084207233","预警任务类型统计","1862486631453622278","/safeLeak/VulnViewManage/1862487538084207233","solidIcon iconSecurity_threats","1",,"1862487538084207233",,"0",,"2",,,,"1","1862487538084207233","RouteView"
"1862487538094207233","EXP原理验证统计","1862486631453622279","/safeLeak/VulnViewManage/1862487538094207233","solidIcon iconSecurity_threats","1",,"1862487538094207233",,"0",,"2",,,,"1","1862487538094207233","RouteView"
"1862487538104207233","漏洞误报结果统计","1862486631453622279","/safeLeak/VulnViewManage/1862487538104207233","solidIcon iconSecurity_threats","1",,"1862487538104207233",,"0",,"2",,,,"1","1862487538104207233","RouteView"
"1862487538114207233","漏洞修复基线统计","1862486631453622279","/safeLeak/VulnViewManage/1862487538114207233","solidIcon iconSecurity_threats","1",,"1862487538114207233",,"0",,"2",,,,"1","1862487538114207233","RouteView"
"1862487538954204002","专项漏洞任务统计","1862486631453622274","/safeLeak/VulnViewManage/1862487538954204002","solidIcon iconSecurity_threats","1",,"1862487538954204002",,"0",,"2",,,,"1","VulnViewManage3","RouteView"
"1862487538954207233","图表视图管理","1862486631453622273","/safeLeak/VulnViewManage/1862487538954207233","solidIcon iconSecurity_threats","1",,"1862487538954207233",,"0",,"4",,,,"1","VulnViewManage4","RouteView"
"1863487109985959938","有向无环图动作调度管理","1862486631453622286","/safeLeak/VulnTaskManage/1863487109985959938","solidIcon iconSecurity_threats","1",,"DataViewManage",,"0",,"1",,,,"1","1863487109985959938","RouteView"
